test_case,start_time,end_time,latency,input_text,prediction,ground_truth
49,2024-10-23T12:15:43.368909,2024-10-23T12:15:43.460933,0.092024,The Olympic Games are held every 4 years,REAL,positive
50,2024-10-23T12:15:43.460995,2024-10-23T12:15:43.562099,0.101104,Donald Trump won the election,REAL,negative
50,2024-10-23T12:15:43.562156,2024-10-23T12:15:43.639191,0.077035,World War III is coming,FAKE,negative
50,2024-10-23T12:15:43.639254,2024-10-23T12:15:43.711241,0.071987,Obama was a US president,REAL,postive
50,2024-10-23T12:15:43.711305,2024-10-23T12:15:43.780338,0.069033,The Olympic Games are held every 4 years,REAL,positive
51,2024-10-23T12:15:43.780416,2024-10-23T12:15:43.849429,0.069013,Donald Trump won the election,REAL,negative
51,2024-10-23T12:15:43.849486,2024-10-23T12:15:43.924633,0.075147,World War III is coming,FAKE,negative
51,2024-10-23T12:15:43.924738,2024-10-23T12:15:43.994555,0.069817,Obama was a US president,REAL,postive
51,2024-10-23T12:15:43.994616,2024-10-23T12:15:44.062597,0.067981,The Olympic Games are held every 4 years,REAL,positive
52,2024-10-23T12:15:44.062663,2024-10-23T12:15:44.136685,0.074022,Donald Trump won the election,REAL,negative
52,2024-10-23T12:15:44.136747,2024-10-23T12:15:44.214730,0.077983,World War III is coming,FAKE,negative
52,2024-10-23T12:15:44.214776,2024-10-23T12:15:44.286854,0.072078,Obama was a US president,REAL,postive
52,2024-10-23T12:15:44.286917,2024-10-23T12:15:44.353864,0.066947,The Olympic Games are held every 4 years,REAL,positive
53,2024-10-23T12:15:44.353964,2024-10-23T12:15:44.424906,0.070942,Donald Trump won the election,REAL,negative
53,2024-10-23T12:15:44.424973,2024-10-23T12:15:44.499091,0.074118,World War III is coming,FAKE,negative
53,2024-10-23T12:15:44.499148,2024-10-23T12:15:44.566306,0.067158,Obama was a US president,REAL,postive
53,2024-10-23T12:15:44.566365,2024-10-23T12:15:44.641302,0.074937,The Olympic Games are held every 4 years,REAL,positive
54,2024-10-23T12:15:44.641380,2024-10-23T12:15:44.710201,0.068821,Donald Trump won the election,REAL,negative
54,2024-10-23T12:15:44.710273,2024-10-23T12:15:44.781012,0.070739,World War III is coming,FAKE,negative
54,2024-10-23T12:15:44.781077,2024-10-23T12:15:44.847427,0.06635,Obama was a US president,REAL,postive
54,2024-10-23T12:15:44.847494,2024-10-23T12:15:44.915550,0.068056,The Olympic Games are held every 4 years,REAL,positive
55,2024-10-23T12:15:44.915795,2024-10-23T12:15:44.985685,0.06989,Donald Trump won the election,REAL,negative
55,2024-10-23T12:15:44.985790,2024-10-23T12:15:45.069572,0.083782,World War III is coming,FAKE,negative
55,2024-10-23T12:15:45.069635,2024-10-23T12:15:45.136786,0.067151,Obama was a US president,REAL,postive
55,2024-10-23T12:15:45.136845,2024-10-23T12:15:45.216866,0.080021,The Olympic Games are held every 4 years,REAL,positive
56,2024-10-23T12:15:45.216924,2024-10-23T12:15:45.292935,0.076011,Donald Trump won the election,REAL,negative
56,2024-10-23T12:15:45.293008,2024-10-23T12:15:45.363893,0.070885,World War III is coming,FAKE,negative
56,2024-10-23T12:15:45.363953,2024-10-23T12:15:45.436013,0.07206,Obama was a US president,REAL,postive
56,2024-10-23T12:15:45.436075,2024-10-23T12:15:45.505075,0.069,The Olympic Games are held every 4 years,REAL,positive
57,2024-10-23T12:15:45.505135,2024-10-23T12:15:45.595142,0.090007,Donald Trump won the election,REAL,negative
57,2024-10-23T12:15:45.595203,2024-10-23T12:15:45.663207,0.068004,World War III is coming,FAKE,negative
57,2024-10-23T12:15:45.663270,2024-10-23T12:15:45.734284,0.071014,Obama was a US president,REAL,postive
57,2024-10-23T12:15:45.734343,2024-10-23T12:15:45.818475,0.084132,The Olympic Games are held every 4 years,REAL,positive
58,2024-10-23T12:15:45.818553,2024-10-23T12:15:45.890476,0.071923,Donald Trump won the election,REAL,negative
58,2024-10-23T12:15:45.890544,2024-10-23T12:15:45.959539,0.068995,World War III is coming,FAKE,negative
58,2024-10-23T12:15:45.959600,2024-10-23T12:15:46.023527,0.063927,Obama was a US president,REAL,postive
58,2024-10-23T12:15:46.023585,2024-10-23T12:15:46.103869,0.080284,The Olympic Games are held every 4 years,REAL,positive
59,2024-10-23T12:15:46.104139,2024-10-23T12:15:46.186881,0.082742,Donald Trump won the election,REAL,negative
59,2024-10-23T12:15:46.186963,2024-10-23T12:15:46.260864,0.073901,World War III is coming,FAKE,negative
59,2024-10-23T12:15:46.260926,2024-10-23T12:15:46.334913,0.073987,Obama was a US president,REAL,postive
59,2024-10-23T12:15:46.334976,2024-10-23T12:15:46.418017,0.083041,The Olympic Games are held every 4 years,REAL,positive
60,2024-10-23T12:15:46.418081,2024-10-23T12:15:46.490142,0.072061,Donald Trump won the election,REAL,negative
60,2024-10-23T12:15:46.490203,2024-10-23T12:15:46.565192,0.074989,World War III is coming,FAKE,negative
60,2024-10-23T12:15:46.565256,2024-10-23T12:15:46.643188,0.077932,Obama was a US president,REAL,postive
60,2024-10-23T12:15:46.643247,2024-10-23T12:15:46.733339,0.090092,The Olympic Games are held every 4 years,REAL,positive
61,2024-10-23T12:15:46.733399,2024-10-23T12:15:46.814377,0.080978,Donald Trump won the election,REAL,negative
61,2024-10-23T12:15:46.814436,2024-10-23T12:15:46.892465,0.078029,World War III is coming,FAKE,negative
61,2024-10-23T12:15:46.892526,2024-10-23T12:15:46.964601,0.072075,Obama was a US president,REAL,postive
61,2024-10-23T12:15:46.964663,2024-10-23T12:15:47.051659,0.086996,The Olympic Games are held every 4 years,REAL,positive
62,2024-10-23T12:15:47.051724,2024-10-23T12:15:47.118810,0.067086,Donald Trump won the election,REAL,negative
62,2024-10-23T12:15:47.118886,2024-10-23T12:15:47.188759,0.069873,World War III is coming,FAKE,negative
62,2024-10-23T12:15:47.188856,2024-10-23T12:15:47.260908,0.072052,Obama was a US president,REAL,postive
62,2024-10-23T12:15:47.260970,2024-10-23T12:15:47.330019,0.069049,The Olympic Games are held every 4 years,REAL,positive
63,2024-10-23T12:15:47.330098,2024-10-23T12:15:47.397053,0.066955,Donald Trump won the election,REAL,negative
63,2024-10-23T12:15:47.397114,2024-10-23T12:15:47.468042,0.070928,World War III is coming,FAKE,negative
63,2024-10-23T12:15:47.468102,2024-10-23T12:15:47.536368,0.068266,Obama was a US president,REAL,postive
63,2024-10-23T12:15:47.536428,2024-10-23T12:15:47.612205,0.075777,The Olympic Games are held every 4 years,REAL,positive
64,2024-10-23T12:15:47.612262,2024-10-23T12:15:47.683320,0.071058,Donald Trump won the election,REAL,negative
64,2024-10-23T12:15:47.683383,2024-10-23T12:15:47.750534,0.067151,World War III is coming,FAKE,negative
64,2024-10-23T12:15:47.750596,2024-10-23T12:15:47.822484,0.071888,Obama was a US president,REAL,postive
64,2024-10-23T12:15:47.822544,2024-10-23T12:15:47.893458,0.070914,The Olympic Games are held every 4 years,REAL,positive
65,2024-10-23T12:15:47.893516,2024-10-23T12:15:47.961734,0.068218,Donald Trump won the election,REAL,negative
65,2024-10-23T12:15:47.961803,2024-10-23T12:15:48.027667,0.065864,World War III is coming,FAKE,negative
65,2024-10-23T12:15:48.027728,2024-10-23T12:15:48.096734,0.069006,Obama was a US president,REAL,postive
65,2024-10-23T12:15:48.096809,2024-10-23T12:15:48.169952,0.073143,The Olympic Games are held every 4 years,REAL,positive
66,2024-10-23T12:15:48.170020,2024-10-23T12:15:48.240990,0.07097,Donald Trump won the election,REAL,negative
66,2024-10-23T12:15:48.241053,2024-10-23T12:15:48.316996,0.075943,World War III is coming,FAKE,negative
66,2024-10-23T12:15:48.317061,2024-10-23T12:15:48.401067,0.084006,Obama was a US president,REAL,postive
66,2024-10-23T12:15:48.401123,2024-10-23T12:15:48.470180,0.069057,The Olympic Games are held every 4 years,REAL,positive
67,2024-10-23T12:15:48.470243,2024-10-23T12:15:48.540254,0.070011,Donald Trump won the election,REAL,negative
67,2024-10-23T12:15:48.540317,2024-10-23T12:15:48.616327,0.07601,World War III is coming,FAKE,negative
67,2024-10-23T12:15:48.616398,2024-10-23T12:15:48.689361,0.072963,Obama was a US president,REAL,postive
67,2024-10-23T12:15:48.689438,2024-10-23T12:15:48.757373,0.067935,The Olympic Games are held every 4 years,REAL,positive
68,2024-10-23T12:15:48.757432,2024-10-23T12:15:48.835474,0.078042,Donald Trump won the election,REAL,negative
68,2024-10-23T12:15:48.835533,2024-10-23T12:15:48.903533,0.068,World War III is coming,FAKE,negative
68,2024-10-23T12:15:48.903594,2024-10-23T12:15:49.012721,0.109127,Obama was a US president,REAL,postive
68,2024-10-23T12:15:49.012785,2024-10-23T12:15:49.088816,0.076031,The Olympic Games are held every 4 years,REAL,positive
69,2024-10-23T12:15:49.088894,2024-10-23T12:15:49.195864,0.10697,Donald Trump won the election,REAL,negative
69,2024-10-23T12:15:49.195923,2024-10-23T12:15:49.264881,0.068958,World War III is coming,FAKE,negative
69,2024-10-23T12:15:49.264947,2024-10-23T12:15:49.346022,0.081075,Obama was a US president,REAL,postive
69,2024-10-23T12:15:49.346083,2024-10-23T12:15:49.438175,0.092092,The Olympic Games are held every 4 years,REAL,positive
70,2024-10-23T12:15:49.438238,2024-10-23T12:15:49.510273,0.072035,Donald Trump won the election,REAL,negative
70,2024-10-23T12:15:49.510331,2024-10-23T12:15:49.585318,0.074987,World War III is coming,FAKE,negative
70,2024-10-23T12:15:49.585376,2024-10-23T12:15:49.658336,0.07296,Obama was a US president,REAL,postive
70,2024-10-23T12:15:49.658398,2024-10-23T12:15:49.729452,0.071054,The Olympic Games are held every 4 years,REAL,positive
71,2024-10-23T12:15:49.729516,2024-10-23T12:15:49.800584,0.071068,Donald Trump won the election,REAL,negative
71,2024-10-23T12:15:49.800658,2024-10-23T12:15:49.869586,0.068928,World War III is coming,FAKE,negative
71,2024-10-23T12:15:49.869662,2024-10-23T12:15:49.944622,0.07496,Obama was a US president,REAL,postive
71,2024-10-23T12:15:49.944689,2024-10-23T12:15:50.029749,0.08506,The Olympic Games are held every 4 years,REAL,positive
72,2024-10-23T12:15:50.029811,2024-10-23T12:15:51.120851,1.09104,Donald Trump won the election,REAL,negative
72,2024-10-23T12:15:51.120915,2024-10-23T12:15:51.195025,0.07411,World War III is coming,FAKE,negative
72,2024-10-23T12:15:51.195102,2024-10-23T12:15:51.265056,0.069954,Obama was a US president,REAL,postive
72,2024-10-23T12:15:51.265123,2024-10-23T12:15:51.375176,0.110053,The Olympic Games are held every 4 years,REAL,positive
73,2024-10-23T12:15:51.375238,2024-10-23T12:15:51.448146,0.072908,Donald Trump won the election,REAL,negative
73,2024-10-23T12:15:51.448216,2024-10-23T12:15:51.516267,0.068051,World War III is coming,FAKE,negative
73,2024-10-23T12:15:51.516331,2024-10-23T12:15:51.586397,0.070066,Obama was a US president,REAL,postive
73,2024-10-23T12:15:51.586503,2024-10-23T12:15:51.656367,0.069864,The Olympic Games are held every 4 years,REAL,positive
74,2024-10-23T12:15:51.656426,2024-10-23T12:15:51.725452,0.069026,Donald Trump won the election,REAL,negative
74,2024-10-23T12:15:51.725528,2024-10-23T12:15:51.796526,0.070998,World War III is coming,FAKE,negative
74,2024-10-23T12:15:51.796588,2024-10-23T12:15:51.867604,0.071016,Obama was a US president,REAL,postive
74,2024-10-23T12:15:51.867673,2024-10-23T12:15:51.937798,0.070125,The Olympic Games are held every 4 years,REAL,positive
75,2024-10-23T12:15:51.937875,2024-10-23T12:15:52.028887,0.091012,Donald Trump won the election,REAL,negative
75,2024-10-23T12:15:52.028967,2024-10-23T12:15:52.132922,0.103955,World War III is coming,FAKE,negative
75,2024-10-23T12:15:52.132987,2024-10-23T12:15:52.231004,0.098017,Obama was a US president,REAL,postive
75,2024-10-23T12:15:52.231066,2024-10-23T12:15:52.299064,0.067998,The Olympic Games are held every 4 years,REAL,positive
76,2024-10-23T12:15:52.299138,2024-10-23T12:15:52.369165,0.070027,Donald Trump won the election,REAL,negative
76,2024-10-23T12:15:52.369222,2024-10-23T12:15:52.441244,0.072022,World War III is coming,FAKE,negative
76,2024-10-23T12:15:52.441303,2024-10-23T12:15:52.509291,0.067988,Obama was a US president,REAL,postive
76,2024-10-23T12:15:52.509352,2024-10-23T12:15:52.615369,0.106017,The Olympic Games are held every 4 years,REAL,positive
77,2024-10-23T12:15:52.615430,2024-10-23T12:15:52.703581,0.088151,Donald Trump won the election,REAL,negative
77,2024-10-23T12:15:52.703664,2024-10-23T12:15:52.778707,0.075043,World War III is coming,FAKE,negative
77,2024-10-23T12:15:52.778774,2024-10-23T12:15:52.867732,0.088958,Obama was a US president,REAL,postive
77,2024-10-23T12:15:52.867793,2024-10-23T12:15:52.948801,0.081008,The Olympic Games are held every 4 years,REAL,positive
78,2024-10-23T12:15:52.948865,2024-10-23T12:15:53.019445,0.07058,Donald Trump won the election,REAL,negative
78,2024-10-23T12:15:53.019535,2024-10-23T12:15:53.092945,0.07341,World War III is coming,FAKE,negative
78,2024-10-23T12:15:53.093009,2024-10-23T12:15:53.161985,0.068976,Obama was a US president,REAL,postive
78,2024-10-23T12:15:53.162062,2024-10-23T12:15:53.231161,0.069099,The Olympic Games are held every 4 years,REAL,positive
79,2024-10-23T12:15:53.231395,2024-10-23T12:15:53.304063,0.072668,Donald Trump won the election,REAL,negative
79,2024-10-23T12:15:53.304124,2024-10-23T12:15:53.403201,0.099077,World War III is coming,FAKE,negative
79,2024-10-23T12:15:53.403262,2024-10-23T12:15:53.472238,0.068976,Obama was a US president,REAL,postive
79,2024-10-23T12:15:53.472304,2024-10-23T12:15:53.542272,0.069968,The Olympic Games are held every 4 years,REAL,positive
80,2024-10-23T12:15:53.542331,2024-10-23T12:15:53.614494,0.072163,Donald Trump won the election,REAL,negative
80,2024-10-23T12:15:53.614557,2024-10-23T12:15:53.690246,0.075689,World War III is coming,FAKE,negative
80,2024-10-23T12:15:53.690310,2024-10-23T12:15:53.760624,0.070314,Obama was a US president,REAL,postive
80,2024-10-23T12:15:53.760686,2024-10-23T12:15:53.832608,0.071922,The Olympic Games are held every 4 years,REAL,positive
81,2024-10-23T12:15:53.832667,2024-10-23T12:15:53.899771,0.067104,Donald Trump won the election,REAL,negative
81,2024-10-23T12:15:53.899847,2024-10-23T12:15:53.966800,0.066953,World War III is coming,FAKE,negative
81,2024-10-23T12:15:53.966872,2024-10-23T12:15:54.036890,0.070018,Obama was a US president,REAL,postive
81,2024-10-23T12:15:54.036968,2024-10-23T12:15:54.103852,0.066884,The Olympic Games are held every 4 years,REAL,positive
82,2024-10-23T12:15:54.103910,2024-10-23T12:15:54.174940,0.07103,Donald Trump won the election,REAL,negative
82,2024-10-23T12:15:54.175000,2024-10-23T12:15:54.242164,0.067164,World War III is coming,FAKE,negative
82,2024-10-23T12:15:54.242244,2024-10-23T12:15:54.313104,0.07086,Obama was a US president,REAL,postive
82,2024-10-23T12:15:54.313167,2024-10-23T12:15:54.395186,0.082019,The Olympic Games are held every 4 years,REAL,positive
83,2024-10-23T12:15:54.395246,2024-10-23T12:15:54.482273,0.087027,Donald Trump won the election,REAL,negative
83,2024-10-23T12:15:54.482339,2024-10-23T12:15:54.553385,0.071046,World War III is coming,FAKE,negative
83,2024-10-23T12:15:54.553447,2024-10-23T12:15:54.633443,0.079996,Obama was a US president,REAL,postive
83,2024-10-23T12:15:54.633500,2024-10-23T12:15:54.704466,0.070966,The Olympic Games are held every 4 years,REAL,positive
84,2024-10-23T12:15:54.704531,2024-10-23T12:15:54.778616,0.074085,Donald Trump won the election,REAL,negative
84,2024-10-23T12:15:54.778676,2024-10-23T12:15:54.851834,0.073158,World War III is coming,FAKE,negative
84,2024-10-23T12:15:54.851936,2024-10-23T12:15:54.933861,0.081925,Obama was a US president,REAL,postive
84,2024-10-23T12:15:54.933925,2024-10-23T12:15:55.006908,0.072983,The Olympic Games are held every 4 years,REAL,positive
85,2024-10-23T12:15:55.006981,2024-10-23T12:15:55.080991,0.07401,Donald Trump won the election,REAL,negative
85,2024-10-23T12:15:55.081064,2024-10-23T12:15:55.174985,0.093921,World War III is coming,FAKE,negative
85,2024-10-23T12:15:55.175045,2024-10-23T12:15:55.278123,0.103078,Obama was a US president,REAL,postive
85,2024-10-23T12:15:55.278186,2024-10-23T12:15:55.378196,0.10001,The Olympic Games are held every 4 years,REAL,positive
86,2024-10-23T12:15:55.378258,2024-10-23T12:15:55.464362,0.086104,Donald Trump won the election,REAL,negative
86,2024-10-23T12:15:55.464422,2024-10-23T12:15:55.566483,0.102061,World War III is coming,FAKE,negative
86,2024-10-23T12:15:55.566540,2024-10-23T12:15:55.633445,0.066905,Obama was a US president,REAL,postive
86,2024-10-23T12:15:55.633527,2024-10-23T12:15:55.702489,0.068962,The Olympic Games are held every 4 years,REAL,positive
87,2024-10-23T12:15:55.702549,2024-10-23T12:15:55.770729,0.06818,Donald Trump won the election,REAL,negative
87,2024-10-23T12:15:55.770790,2024-10-23T12:15:55.837769,0.066979,World War III is coming,FAKE,negative
87,2024-10-23T12:15:55.837833,2024-10-23T12:15:55.928812,0.090979,Obama was a US president,REAL,postive
87,2024-10-23T12:15:55.928885,2024-10-23T12:15:55.996837,0.067952,The Olympic Games are held every 4 years,REAL,positive
88,2024-10-23T12:15:55.996903,2024-10-23T12:15:56.068996,0.072093,Donald Trump won the election,REAL,negative
88,2024-10-23T12:15:56.069066,2024-10-23T12:15:56.140022,0.070956,World War III is coming,FAKE,negative
88,2024-10-23T12:15:56.140093,2024-10-23T12:15:56.220930,0.080837,Obama was a US president,REAL,postive
88,2024-10-23T12:15:56.220995,2024-10-23T12:15:56.309184,0.088189,The Olympic Games are held every 4 years,REAL,positive
89,2024-10-23T12:15:56.309244,2024-10-23T12:15:56.384288,0.075044,Donald Trump won the election,REAL,negative
89,2024-10-23T12:15:56.384354,2024-10-23T12:15:56.455364,0.07101,World War III is coming,FAKE,negative
89,2024-10-23T12:15:56.455427,2024-10-23T12:15:56.526459,0.071032,Obama was a US president,REAL,postive
89,2024-10-23T12:15:56.526518,2024-10-23T12:15:56.592511,0.065993,The Olympic Games are held every 4 years,REAL,positive
90,2024-10-23T12:15:56.592575,2024-10-23T12:15:56.659831,0.067256,Donald Trump won the election,REAL,negative
90,2024-10-23T12:15:56.659908,2024-10-23T12:15:56.729582,0.069674,World War III is coming,FAKE,negative
90,2024-10-23T12:15:56.729644,2024-10-23T12:15:56.797652,0.068008,Obama was a US president,REAL,postive
90,2024-10-23T12:15:56.797714,2024-10-23T12:15:56.866782,0.069068,The Olympic Games are held every 4 years,REAL,positive
91,2024-10-23T12:15:56.866848,2024-10-23T12:15:56.934786,0.067938,Donald Trump won the election,REAL,negative
91,2024-10-23T12:15:56.934847,2024-10-23T12:15:57.002849,0.068002,World War III is coming,FAKE,negative
91,2024-10-23T12:15:57.002910,2024-10-23T12:15:57.071962,0.069052,Obama was a US president,REAL,postive
91,2024-10-23T12:15:57.072024,2024-10-23T12:15:57.139126,0.067102,The Olympic Games are held every 4 years,REAL,positive
92,2024-10-23T12:15:57.139268,2024-10-23T12:15:57.216218,0.07695,Donald Trump won the election,REAL,negative
92,2024-10-23T12:15:57.216291,2024-10-23T12:15:57.299302,0.083011,World War III is coming,FAKE,negative
92,2024-10-23T12:15:57.299375,2024-10-23T12:15:57.377345,0.07797,Obama was a US president,REAL,postive
92,2024-10-23T12:15:57.377409,2024-10-23T12:15:57.476462,0.099053,The Olympic Games are held every 4 years,REAL,positive
93,2024-10-23T12:15:57.476531,2024-10-23T12:15:57.547515,0.070984,Donald Trump won the election,REAL,negative
93,2024-10-23T12:15:57.547581,2024-10-23T12:15:57.625576,0.077995,World War III is coming,FAKE,negative
93,2024-10-23T12:15:57.625634,2024-10-23T12:15:57.697576,0.071942,Obama was a US president,REAL,postive
93,2024-10-23T12:15:57.697633,2024-10-23T12:15:57.768708,0.071075,The Olympic Games are held every 4 years,REAL,positive
94,2024-10-23T12:15:57.768768,2024-10-23T12:15:57.837742,0.068974,Donald Trump won the election,REAL,negative
94,2024-10-23T12:15:57.837803,2024-10-23T12:15:57.908874,0.071071,World War III is coming,FAKE,negative
94,2024-10-23T12:15:57.908932,2024-10-23T12:15:57.991066,0.082134,Obama was a US president,REAL,postive
94,2024-10-23T12:15:57.991124,2024-10-23T12:15:58.061065,0.069941,The Olympic Games are held every 4 years,REAL,positive
95,2024-10-23T12:15:58.061144,2024-10-23T12:15:58.133002,0.071858,Donald Trump won the election,REAL,negative
95,2024-10-23T12:15:58.133063,2024-10-23T12:15:58.209100,0.076037,World War III is coming,FAKE,negative
95,2024-10-23T12:15:58.209159,2024-10-23T12:15:58.301315,0.092156,Obama was a US president,REAL,postive
95,2024-10-23T12:15:58.301381,2024-10-23T12:15:58.373374,0.071993,The Olympic Games are held every 4 years,REAL,positive
96,2024-10-23T12:15:58.373440,2024-10-23T12:15:58.464502,0.091062,Donald Trump won the election,REAL,negative
96,2024-10-23T12:15:58.464570,2024-10-23T12:15:58.556625,0.092055,World War III is coming,FAKE,negative
96,2024-10-23T12:15:58.556684,2024-10-23T12:15:58.626606,0.069922,Obama was a US president,REAL,postive
96,2024-10-23T12:15:58.626667,2024-10-23T12:15:59.766801,1.140134,The Olympic Games are held every 4 years,REAL,positive
97,2024-10-23T12:15:59.766863,2024-10-23T12:15:59.865905,0.099042,Donald Trump won the election,REAL,negative
97,2024-10-23T12:15:59.865970,2024-10-23T12:15:59.945972,0.080002,World War III is coming,FAKE,negative
97,2024-10-23T12:15:59.946033,2024-10-23T12:16:00.049130,0.103097,Obama was a US president,REAL,postive
97,2024-10-23T12:16:00.049193,2024-10-23T12:16:00.122174,0.072981,The Olympic Games are held every 4 years,REAL,positive
98,2024-10-23T12:16:00.122325,2024-10-23T12:16:00.247254,0.124929,Donald Trump won the election,REAL,negative
98,2024-10-23T12:16:00.247315,2024-10-23T12:16:00.382538,0.135223,World War III is coming,FAKE,negative
98,2024-10-23T12:16:00.382619,2024-10-23T12:16:00.478538,0.095919,Obama was a US president,REAL,postive
98,2024-10-23T12:16:00.478605,2024-10-23T12:16:00.551662,0.073057,The Olympic Games are held every 4 years,REAL,positive
99,2024-10-23T12:16:00.551729,2024-10-23T12:16:00.624624,0.072895,Donald Trump won the election,REAL,negative
99,2024-10-23T12:16:00.624691,2024-10-23T12:16:00.698790,0.074099,World War III is coming,FAKE,negative
99,2024-10-23T12:16:00.698857,2024-10-23T12:16:00.778888,0.080031,Obama was a US president,REAL,postive
99,2024-10-23T12:16:00.778956,2024-10-23T12:16:00.846886,0.06793,The Olympic Games are held every 4 years,REAL,positive
